ge_page_title,ge_revision_id,ge_revision_timestamp,removed_before_arr,item_name,item_category,patch_introduced,required_level,optimal_level,required_rank,suits_classes,fits_races,favors_classes,requires_classes,gender_restriction,wear_durability_points,base_material,base_item,dye_colors,defense,magic_defense,damage,delay_seconds,number_of_attacks,recast_seconds,duration_seconds,blunt_attack_pct,piercing_attack_pct,slashing_attack_pct,projectile_attack_pct,evasion_bonus,magic_evasion_bonus,accuracy_bonus,magic_accuracy_bonus,attack_magic_potency_bonus,healing_magic_potency_bonus,enhancement_magic_potency_bonus,enfeebling_magic_potency_bonus,strength_bonus,vitality_bonus,dexterity_bonus,intelligence_bonus,mind_bonus,piety_bonus,hp_bonus,mp_bonus,craftsmanship_bonus,magic_craftsmanship_bonus,gathering_bonus,perception_bonus,output_bonus,has_attributes,materia_effect,meld_slots,meldable,convertible,materia_catalyst,recipe_templates_raw,stack_max,unique,untradeable,resale_price_gil,repair_class,repair_level,hq_effect,hq_bonus_attribute,description,source
Drachen Armet,45922,2012-07-25T19:49:04Z,0,Drachen Armet,Helm,1.21,49,,,,,,DRG,,20850,,,,76,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,no,no,,,,x,x,,Armorer,39,,,,ge-item-pages
Drachen Breeches,47266,2012-07-25T19:49:14Z,0,Drachen Breeches,Pants,1.21,46,,,,,,DRG,,18070,,,,130,,,,,,,,,,,,,,,,,,,10,,,,,7,,,,,,,,,,,No,No,,,,x,x,1,Armorer,36,,,,ge-item-pages
Drachen Gauntlets,46807,2012-07-25T19:49:29Z,0,Drachen Gauntlets,Gauntlets,1.21,47,,,,,,DRG,,18070,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,-30,,,,,,,,,,No,No,,,,x,x,1,Armorer,,,,,ge-item-pages
Drachen Greaves,47673,2012-07-25T19:49:23Z,0,Drachen Greaves,Greaves,1.21,45,,,,,,DRG,,18070,,,,60,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,No,No,,,,x,x,1,Armorer,,,,,ge-item-pages
Drachen Mail,46381,2012-07-25T19:49:10Z,0,Drachen Mail,War Garb,1.21,50,,,,,,DRG,,36140,,,,165,,,,,,,,,,,,,,,,,,,7,,,,,7,,,,,,,,,,,No,No,,,,x,x,1,Armorer,40,,,,ge-item-pages
Dragon Kabuto,335560,2012-07-25T19:55:03Z,0,Dragon Kabuto,Helm,,,1,,All Classes,,,,,20000,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,Yes,Yes,1,Armorer,1,,,,ge-item-pages
Dragon Obsidian,102393,2011-09-29T03:57:43Z,1,Dragon Obsidian,Stone,,,,,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,Superior-quality obsidian. Said to have been formed in the flames of a dragon's breath.,ge-item-pages
Dragon Pepper,399163,2012-05-06T01:11:18Z,0,Dragon Pepper,Spice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,58,,,,,A red-hot spice known to cause severe burns in the mouths of those who consume too many.,ge-item-pages
Drake Collar,39494,2011-09-30T01:00:58Z,1,Drake Collar,Armor Metal,,,,,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,An elaborately decorated collar made from electrum.,ge-item-pages
Drake Scales,430647,2012-03-29T02:53:35Z,0,Drake Scales,Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,378,,,,,The red-brown scales of a drake.,ge-item-pages
Drake Skin,453409,2012-03-29T03:00:42Z,0,Drake Skin,Hide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,367,,,,,The thorned hide of a drake.,ge-item-pages
Dream Boots,479449,2012-05-14T15:57:17Z,0,Dream Boots,Shoes,,,1,,,,All Classes,,,11120,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,no,no,,"{{Recipe |Name = Dream Boots |Primary Skill = Leathercraft |Primary Skill Level = 12 |Secondary Skill = |Secondary Skill Level = |Secondary Skill 2 = |Secondary Skill 2 Level = |Training 1 = |Training 2 = |Simple Facilities = |Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 6 |Crystal 2 = Wind Shard |Crystal 2 Amount = 3 |Ingredients = Dream Boots Materials, Mole Sinew |Main Hand NQ = Dream Boots |Main Hand HQ+1 = Dream Boots +1 |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Dream Boots |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",,,,84,Leatherworker,,,,,ge-item-pages
Dream Boots Materials,479286,2011-02-03T18:54:13Z,0,Dream Boots Materials,Leather,,,,,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,128,,,,,Pre-cut leather used in the cobbling of Starlight Celebration dream boots.,ge-item-pages
Dream Hat,479365,2012-05-10T23:52:42Z,0,Dream Hat,Hat,,,1,,All Classes,,,,,11120,,,,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,No,No,,"{{Recipe |Name = Dream Hat |Primary Skill = Weaving |Primary Skill Level = 11 |Secondary Skill = |Secondary Skill Level = |Secondary Skill 2 = |Secondary Skill 2 Level = |Training 1 = |Training 2 = |Simple Facilities = |Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 6 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Dream Hat Materials, Cotton Yarn |Main Hand NQ = Dream Hat |Main Hand HQ+1 = Dream Hat +1 |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Dream Hat |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",,,,144,Weaver,1,+1,,,ge-item-pages
Dream Hat Materials,7014,2011-02-02T23:54:44Z,0,Dream Hat Materials,Cloth,,,,,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,83,,,,,Pre-cut cloth used in the sewing of a Starlight Celebration dream hat.,ge-item-pages
Dream Tunic,479552,2012-05-11T00:05:13Z,0,Dream Tunic,Attire,,,1,,,,All Classes,,,22240,,,,12,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,Yes,,,n,,,"{{Recipe |Name = Dream Tunic |Primary Skill = Weaving |Primary Skill Level = 14 |Secondary Skill = |Secondary Skill Level = |Secondary Skill 2 = |Secondary Skill 2 Level = |Training 1 = |Training 2 = |Simple Facilities = |Guild Facilities = |Crystal 1 = Earth Shard |Crystal 1 Amount = 8 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Dream Tunic Materials, Cotton Yarn, Dormouse Fur, Dormouse Fur |Main Hand NQ = Dream Tunic |Main Hand HQ+1 = Dream Tunic +1 |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Dream Tunic |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",,,,,Weaver,,,,,ge-item-pages
Dream Tunic Materials,484256,2011-02-02T23:54:37Z,0,Dream Tunic Materials,Cloth,,,,,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,Pre-cut cloth used in the sewing of a Starlight Celebration dream tunic.,ge-item-pages
Dried Majoram,123244,2012-03-19T21:52:31Z,0,Dried Majoram,Spice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,3,,,,,Dried and crumbled marjoram leaves. They are often used to flavor meat and poultry.,ge-item-pages
Dried Plums,61532,2012-09-20T23:18:30Z,0,Dried Prunes,Sweet,1.21,,,,,,,,,,,,,,,,,,5,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Recipe |Name = Dried Prunes |Primary Skill = Cooking |Primary Skill Level = 21 |Secondary Skill = |Secondary Skill Level = |Secondary Skill 2 = |Secondary Skill 2 Level = |Crystal 1 = Water Shard |Crystal 1 Amount = 2 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Pixie Plums |Main Hand NQ = Dried Prunes x 4 |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Dried Prunes x 4 |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }},99,,,1,,,,,"Dried pixie plums, sweetened in the sun.",ge-item-pages
Dusken Draught,228270,2012-07-13T15:02:23Z,0,Dusken Draught,Ether,1.17,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,1,,,,,Powdered coral gives this medicinal concotion the deep amber tone from which it gets its name. It is distributed to members of the Lominsan Armada during battle to provide quick recovery from physical wounds.,ge-item-pages
Dyeing Training,449481,2010-12-26T03:43:31Z,0,Dyeing Training,Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,A large volume containing detailed instructions on how to dye cloth.,ge-item-pages
Dzemael Gratin,453469,2012-05-19T03:28:51Z,0,Dzemael Gratin,Soup & Stew,,,,,,,,,,,,,,,,,,,5,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Dzemael Gratin | Primary Skill = Cooking | Primary Skill Level = 43 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = |Crystal 1 = Fire Shard |Crystal 1 Amount = 2 |Crystal 2 = Water Shard |Crystal 2 Amount = 2 |Ingredients = Popoto, Garlean Garlic, Black Pepper, Salted Butter, Nutmeg, Sweet Cream, Eft Tail, Mineral Water |Main Hand NQ = Dzemael Gratin x2 |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Dzemael Gratin x2 |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,128,,,,,"Passed down through generations by the Dzemael family, this dish consists of thinly sliced popotoes and nether newts baked in a creamy white sauce.",ge-item-pages
Eagle-crested Round Shield,112846,2012-05-19T21:09:26Z,0,Eagle-crested Round Shield,Shield,,45,,,,,,"GLA, CNJ, PLD, WHM",,41480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,"{{Recipe |Name = Eagle-crested Round Shield |Primary Skill = Carpentry |Primary Skill Level = 49 |Crystal 1 = Wind Shard |Crystal 1 Amount = 2 |Crystal 2 = Ice Crystal |Crystal 2 Amount = 1 |Ingredients = Cobalt Ingot, Mahogany Lumber, Cobalt Rivets, Boar Leather |Main Hand NQ = Eagle-crested Round Shield |Main Hand HQ+1 = Eagle-crested Round Shield +1 |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Eagle-crested Round Shield |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",,,,5520,Carpenter,35,,,,ge-item-pages
Eagle Feather,44412,2012-05-09T04:24:48Z,1,Eagle Feather,Feather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,134,,,,,The wing feather of a noble eagle. Instills illusions of freedom into the hearts of men.,ge-item-pages
Eagle Fletchings,453590,2011-10-07T01:48:41Z,1,Eagle Fletchings,Fletching,,,,,,,,,,,Eagle Dress Fletching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe |Name = Eagle Fletchings |Primary Skill = Weaving |Primary Skill Level = 30 |Secondary Skill = |Secondary Skill Level = |Secondary Skill 2 = |Secondary Skill 2 Level = |Training 1 = |Training 2 = |Simple Facilities = |Guild Facilities = |Crystal 1 = Wind Shard |Crystal 1 Amount = 18 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Eagle Feather, Eagle Feather, Eagle Feather |Main Hand NQ = Eagle Fletchings x12 |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",99,,,,,,,,"Eagle feathers fitted to the nock end of arrow shafts, adding to directional stability during flight.",ge-item-pages
Earth Archon Egg,39975,2012-07-13T15:02:26Z,0,Earth Archon Egg,Gemstone,1.17,,40,,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,2,,,,,A prophetic egg aspected to the element of earth.,ge-item-pages
Earth Brand,197740,2012-05-16T15:40:31Z,0,Earth Brand,Thaumaturge's Arm,,31,,,,,,"THM, BLM",,87840,,,,,,16,2.9,1,,,100,,,,,,,,16,,,,,,,,,,,,,,,,,,,,yes,yes,,"{{Recipe |Name = Earth Brand |Primary Skill = Goldsmithing |Primary Skill Level = 34 |Crystal 1 = Fire Shard |Crystal 1 Amount = 4 |Crystal 2 = Wind Shard |Crystal 2 Amount = 5 |Ingredients = Toad Leather, Aldgoat Horn, Eye of Earth |Main Hand NQ = Earth Brand |Main Hand HQ+1 = Earth Brand +1 |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Earth Brand |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",,,,3328,Goldsmith,,,Earth Magic Potency,,ge-item-pages
Earth Cluster,506387,2012-06-16T15:02:04Z,0,Earth Cluster,Crystal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999,,,189,,,No,,"A large, crystalline manifestation of aetheric {{earth|earth}} energy.",ge-item-pages
Earth Crystal,428409,2012-07-05T03:21:28Z,0,Earth Crystal,Crystal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Recipe | Name = Earth Crystal | Primary Skill = Alchemy | Primary Skill Level = 11 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Lightning Shard |Crystal 1 Amount = 5 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Helmet Crab |Main Hand NQ = Earth Crystal x1 |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Earth Crystal x1 |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }} {{Recipe | Name = Earth Crystal | Primary Skill = Alchemy | Primary Skill Level = 21 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Lightning Shard |Crystal 1 Amount = 10 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Sandfish |Main Hand NQ = Earth Crystal x2 |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Earth Crystal x2 |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }} {{Recipe | Name = Earth Crystal | Primary Skill = Alchemy | Primary Skill Level = 21 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Lightning Shard |Crystal 1 Amount = 10 |Crystal 2 = |Crystal 2 Amount = |Ingredients = River Crab |Main Hand NQ = Earth Crystal x2 |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Earth Crystal x2 |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }} {{Recipe | Name = Earth Crystal | Primary Skill = Alchemy | Primary Skill Level = 31 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Lightning Crystal |Crystal 1 Amount = 1 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Blindfish |Main Hand NQ = Earth Crystal x3 |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Earth Crystal x3 |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }} {{Recipe | Name = Earth Crystal | Primary Skill = Alchemy | Primary Skill Level = 41 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Lightning Crystal |Crystal 1 Amount = 2 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Southern Pike |Main Hand NQ = Earth Crystal x6 |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Earth Crystal x6 |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }} {{Recipe | Name = Earth Crystal | Primary Skill = Alchemy | Primary Skill Level = 41 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Lightning Crystal |Crystal 1 Amount = 2 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Northern Pike |Main Hand NQ = Earth Crystal x6 |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Earth Crystal x6 |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }},9999,,,38,,,No,,A crystalline manifestation of aethric Earth energy.,ge-item-pages
Earth Materia I,345369,2012-01-03T00:43:07Z,0,Earth Materia I,Materia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Earth Magic Potency: +2, +4, +6, +8","Feet, Pugilist's Arm, Two-Handed Conjurer's Arm, Two-Handed Thaumaturge's Arm",,,Calcified Matter,,,,,,,,,,,ge-item-pages
Earth Materia II,345525,2012-01-03T00:43:15Z,0,Earth Materia II,Materia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Earth Magic Potency: +9, +10, +11, +12","Feet, Pugilist's Arm, Two-Handed Conjurer's Arm, Two-Handed Thaumaturge's Arm",,,Cultured Matter,,,,,,,,,,,ge-item-pages
Earth Materia III,345683,2012-01-03T00:43:22Z,0,Earth Materia III,Materia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Earth Magic Potency: +13, +15, +17, +20","Feet, Pugilist's Arm, Two-Handed Conjurer's Arm, Two-Handed Thaumaturge's Arm",,,Ossified Matter,,,,,,,,,,,ge-item-pages
Earth Materia IV,345850,2012-01-03T00:43:30Z,0,Earth Materia IV,Materia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Earth Magic Potency: +22, +25, +27, +30","Feet, Pugilist's Arm, Two-Handed Conjurer's Arm, Two-Handed Thaumaturge's Arm",,,Ossified Matter,,,,,,,,,,,ge-item-pages
Earth Moraine,489624,2011-10-07T01:54:49Z,1,Earth Moraine,Gemstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Recipe | Name = Earth Moraine | Primary Skill = Goldsmithing | Primary Skill Level = 14 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Wind Crystal |Crystal 1 Amount = 1 |Crystal 2 = Water Shard |Crystal 2 Amount = 2 |Ingredients = Earth Rock |Main Hand NQ = Marbled Eye |Main Hand HQ+1 = Earth Moraine x1 |Main Hand HQ+2 = Earth Moraine x2 |Main Hand HQ+3 = Umbral Moraine |Off Hand NQ = Marbled Eye |Off Hand HQ+1 = Eye of Earth |Off Hand HQ+2 = Radiant Eye of Earth |Off Hand HQ+3 = Radiant Eye of Earth +1 }},99,,,,,,,,Gravel elementally aspected to Earth.,ge-item-pages
Earth Orb,475208,2010-12-18T04:41:25Z,0,Earth Orb,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,ge-item-pages
Earth Potion,272093,2012-03-10T02:23:58Z,0,Earth Potion,Potion,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Earth Potion | Primary Skill = Alchemy | Primary Skill Level = 30 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = Physicking Training | Training 2 = | Guild Facilities = |Crystal 1 = Water Shard |Crystal 1 Amount = 6 |Crystal 2 = Earth Shard |Crystal 2 Amount = 3 |Ingredients = Yellow Ginseng, Sagolii Sage, Mistletoe, Distilled Water |Main Hand NQ = Earth Potion x 3 |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",12,,,100,,,,,This weak concoction draws on the element of Earth to instantly restore a few HP.,ge-item-pages
Earth Rock,480704,2012-04-29T01:06:52Z,0,Earth Rock,Gemstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,87,,,,,"An uncut, unpolished stone imbued with aetheric earth energy.",ge-item-pages
Earth Shard,374470,2012-07-05T03:21:47Z,0,Earth Shard,Crystal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Recipe | Name = Earth Shard | Primary Skill = Alchemy | Primary Skill Level = 01 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Lightning Shard |Crystal 1 Amount = 4 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Maiden Carp |Main Hand NQ = Earth Shard x12 |Main Hand HQ+1 = Earth Shard x18 |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Earth Shard x12 |Off Hand HQ+1 = Earth Shard x18 |Off Hand HQ+2 = |Off Hand HQ+3 = }} {{Recipe | Name = Earth Shard | Primary Skill = Alchemy | Primary Skill Level = 01 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Training 1 = | Training 2 = | Guild Facilities = |Crystal 1 = Lightning Shard |Crystal 1 Amount = 4 |Crystal 2 = |Crystal 2 Amount = |Ingredients = Black Scorpion |Main Hand NQ = Earth Shard x12 |Main Hand HQ+1 = Earth Shard x18 |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Earth Shard x12 |Off Hand HQ+1 = Earth Shard x18 |Off Hand HQ+2 = |Off Hand HQ+3 = }},9999,,,8,,,No,,"A tiny, crystalline manifestation of aetheric Earth energy.",ge-item-pages
Earth Veil Materia I,347995,2012-01-03T01:19:31Z,0,Earth Veil Materia I,Materia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Earth Resistance: +1, +2, +3","Body, Waist, Shield, Carpenter's Secondary Tool, Blacksmith's Secondary Tool, Armorer's Secondary Tool, Goldsmith's Secondary Tool, Leatherworker's Secondary Tool, Weaver's Secondary Tool, Alchemist's Secondary Tool, Culinarian's Secondary Tool, Miner's Secondary Tool, Botanist's Secondary Tool, Fisher's Secondary Tool",,,Calcified Matter,,,,,,,,,,,ge-item-pages
Earth Veil Materia II,347967,2012-01-03T01:19:23Z,0,Earth Veil Materia II,Materia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Earth Resistance: +4, +5, +0, +6","Body, Waist, Shield, Carpenter's Secondary Tool, Blacksmith's Secondary Tool, Armorer's Secondary Tool, Goldsmith's Secondary Tool, Leatherworker's Secondary Tool, Weaver's Secondary Tool, Alchemist's Secondary Tool, Culinarian's Secondary Tool, Miner's Secondary Tool, Botanist's Secondary Tool, Fisher's Secondary Tool",,,Cultured Matter,,,,,,,,,,,ge-item-pages
Earth Veil Materia III,347943,2012-01-03T01:19:14Z,0,Earth Veil Materia III,Materia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Earth Resistance: +7, +8, +9, +10","Body, Waist, Shield, Carpenter's Secondary Tool, Blacksmith's Secondary Tool, Armorer's Secondary Tool, Goldsmith's Secondary Tool, Leatherworker's Secondary Tool, Weaver's Secondary Tool, Alchemist's Secondary Tool, Culinarian's Secondary Tool, Miner's Secondary Tool, Botanist's Secondary Tool, Fisher's Secondary Tool",,,Ossified Matter,,,,,,,,,,,ge-item-pages
Earth Veil Materia IV,347921,2012-01-03T01:19:06Z,0,Earth Veil Materia IV,Materia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Earth Resistance: +11, +12, +13, +15","Body, Waist, Shield, Carpenter's Secondary Tool, Blacksmith's Secondary Tool, Armorer's Secondary Tool, Goldsmith's Secondary Tool, Leatherworker's Secondary Tool, Weaver's Secondary Tool, Alchemist's Secondary Tool, Culinarian's Secondary Tool, Miner's Secondary Tool, Botanist's Secondary Tool, Fisher's Secondary Tool",,,Ossified Matter,,,,,,,,,,,ge-item-pages
Ebony Branch,453604,2011-09-29T04:27:03Z,1,Ebony Branch,Raw Wood,,,,50,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,The thick branch of an ebony tree.,ge-item-pages
Ebony Log,453745,2011-09-29T04:26:34Z,1,Ebony Log,Raw Wood,,,,50,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,A rough-cut log of ebony timber.,ge-item-pages
Ebony Lumber,453708,2011-09-29T04:36:49Z,1,Ebony Lumber,Lumber,,,,50,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,Processed ebony lumber.,ge-item-pages
Ebony Plank,453657,2011-09-29T04:37:39Z,1,Ebony Plank,Plank,,,,50,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,"A thin, evenly cut plank of ebony lumber.",ge-item-pages
Eel Pie,381696,2012-05-19T02:55:48Z,0,Eel Pie,Seafood Dish,,,,,,,,,,,,,,,,,,,5,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Eel Pie | Primary Skill = Cooking | Primary Skill Level = 19 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Crystal 1 = Fire Shard | Crystal 1 Amount = 2 | Crystal 2 = | Crystal 2 Amount = | Ingredients = Pie Dough, Black Eel, Salted Butter, Popoto, Table Salt, Black Pepper, Cloves, Mineral Water | Main Hand NQ = Eel Pie x5 | Main Hand HQ+1 = | Main Hand HQ+2 = | Main Hand HQ+3 = | Off Hand NQ = Eel Pie x5 | Off Hand HQ+1 = | Off Hand HQ+2 = | Off Hand HQ+3 = }}",99,,,62,,,,,"Plump, protein-rich eel baked in a flaky crust.",ge-item-pages
Effervescent Water,512013,2012-07-17T12:08:27Z,0,Effervescent Water,Reagent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,38,,,,,Naturally sparkling water taken from an O'Ghomorran spring.,ge-item-pages
