ge_page_title,ge_revision_id,ge_revision_timestamp,removed_before_arr,mob_name,family,subfamily,subspecies,mob_type,job,gender,element,elemental_weakness,aggressive,behavior_flags,notorious_monster,level_low,level_high,hp_low,hp_high,mp_low,mp_high,drops_no_shards,drops_no_crystals,notes,etymology,source
Goblin Freesword,26518,2011-09-20T01:18:11Z,0,Goblin Freesword,Goblin,,,,,,Fire,,,,,40,49,2402,2866,744,885,,,,,ge-mob-pages
Goblin Headman,34278,2012-08-08T19:26:57Z,0,Goblin Headman,Goblin,,,,,,Fire,,x,"A, S",,90,99,6426,7675,1964,2343,,,"Generally passive, but on occasion you may capture ones attention and it will follow you for a short while.",,ge-mob-pages
Goblin Mugger,64777,2012-10-31T03:49:26Z,0,Goblin Mugger,Goblin,,,,,,Fire,,,,,71,76,,,,,,,,,ge-mob-pages
Goblin Thug,63250,2012-04-19T00:53:03Z,0,Goblin Thug,Goblin,,,,,,Fire,,,,,30,39,1827,2344,568,726,,,,,ge-mob-pages
Goddess Girdle,51305,2011-09-23T14:35:06Z,0,Goddess Girdle,Aurelia,,,,,,Ice,,x,,,60,64,3025,3273,1095,1183,,,,,ge-mob-pages
Godwin Goodgoat,475366,2010-11-23T19:25:49Z,0,Godwin Goodgoat,Enemy Humanoid,,,Quest,,,,,,,,,,,,,,,,,,ge-mob-pages
Goobbue,278791,2011-09-21T01:40:48Z,0,Goobbue,Goobbue,,,,,,Ice,,x,,,65,69,6087,6586,1206,1304,,,,,ge-mob-pages
Gorgebug,459205,2012-08-08T19:55:00Z,0,Gorgebug,Beetle,,,Quest,,,,,,,,,,,,,,,,,,ge-mob-pages
Gorged Djigga,478883,2011-09-22T00:48:29Z,0,Gorged Djigga,Chigoe,,,,,,Fire,,x,,,30,54,421,1202,568,975,,,,,ge-mob-pages
Grass Raptor,470145,2012-05-01T00:54:17Z,0,Grass Raptor,Raptor,,,,,,Fire,,x,,,55,64,3387,4043,994,1183,,,,,ge-mob-pages
Gravid Crab,63177,2012-10-24T20:19:25Z,0,Gravid Crab,Crab,,,,,,Water,,Y,,,72,72,,,,,,,,,ge-mob-pages
Great Buffalo,11989,2012-03-21T21:18:12Z,0,Great Buffalo,Buffalo,,,,,,Earth,,x,,x,65,,32767,,1206,,,,* To get Buffalo Horn to drop you need to incapacitate a horn. * Horns can get incapacitated by attacking Left(outer) or Right(Outer). * Max Amount of horns to drop is 2 if you incapacitate both horns.,,ge-mob-pages
Great Elm,30809,2012-07-29T18:43:17Z,0,Great Elm,Treant,,,,,,Earth,Fire,Y,,Y,55,,,,,,Y,Y,Final boss in the Locke's Lie Skirmish. Spawns in the center after all other enemies have been defeated. Resets hate very often.,,ge-mob-pages
Great Oak,310132,2012-07-26T04:27:03Z,0,Great Oak,Treant,,,,,,Earth,,Y,,Y,55,55,,,,,,,,,ge-mob-pages
Greater Buffalo,28750,2012-07-28T21:18:49Z,0,Greater Buffalo,Buffalo,,,,,,,,Y,,Y,55,,,,,,Y,Y,Spawns first in Turtleback Island Skirmish,,ge-mob-pages
Greedy Angler,417490,2012-06-05T05:25:40Z,0,Greedy Angler,Angler,,,,,,Water,,x,,,30,54,329,1044,568,975,,,,,ge-mob-pages
Green Dewflower Sylph,364525,2011-09-20T02:19:03Z,0,Green Dewflower Sylph,Sylph,,,,Conjurer,,Wind,,,,,30,50,768,1667,2840,4510,,,,,ge-mob-pages
Grenade,1954,2012-04-30T01:05:18Z,0,Grenade,Bomb,,,,,,Fire,,,,,60,69,3558,4249,5475,6520,,,,,ge-mob-pages
Greywine,295006,2012-05-19T13:38:51Z,0,Greywine,Drake,,,,,,Fire,,x,,x,,,,,,,,,"Will change colors to a glowing purple, this indicates a spikes effect. Melee damage should be avoided for the duration of this.",,ge-mob-pages
Gripper,28155,2012-08-09T16:28:05Z,0,Gripper,Crab,,,,,,Water,,Yes,"A, H",,15,17,288,338,300,381,,,,,ge-mob-pages
Guano Gnat,250269,2012-09-09T23:05:41Z,0,Guano Gnat,Gnat,,,,,,Lightning,,Y,,Y,30,30,,,,,,,,,ge-mob-pages
Guardian of the Grove,247276,2012-04-29T19:25:01Z,0,Guardian of the Grove,Treant,,,,,,,,Yes,,Yes,,,,,,,Yes,Yes,"Aggroes to sound. Avoid aggro by walking. Uses Pinecone Bomb immediately upon aggro for 9,999 damage.",,ge-mob-pages
Guivre,505351,2011-09-19T01:08:01Z,0,Guivre,Drake,,,,,,Fire,,x,,,40,69,1081,4249,744,1304,,,,,ge-mob-pages
Hairless Hare,478497,2011-09-23T20:12:53Z,0,Hairless Hare,Slug,,,,,,Water,,,,,40,68,1246,2583,744,1279,,,,,ge-mob-pages
Haughtpox Bloatbelly,8320,2012-08-08T19:27:00Z,0,Haughtpox Bloatbelly,Goblin,,,,,,Fire,,x,"A, S",x,60,,32022,,1095,,,,*Spawns during the day 8:00-20:00. *Spawns with 2 Goblin Braggadocio and 2 Goblin Bouncers. *Not Solo-able. Goblin Bouncers are level 58-59 and all 5 link together.,,ge-mob-pages
Headrip Ogre,474669,2011-09-24T01:46:49Z,0,Headrip Ogre,Ogre,,,,,,Fire,,x,,,85,89,11353,12286,1781,1926,,,,,ge-mob-pages
Headsman's Axe,300049,2012-06-08T00:38:11Z,0,Headsman's Axe,Ixal,,,,Marauder,,Wind,,Yes,,,56,56,,,,,,,,,ge-mob-pages
Hedgemole,41992,2012-09-30T04:42:57Z,0,Hedgemole,Mole,,,,,,Earth,,,,,45,49,3312,3583,819,885,,,,,ge-mob-pages
Heliodor Doblyn,507969,2012-08-02T18:38:56Z,0,Heliodor Doblyn,Coblyn,,,,,,Earth,Water,,,,40,44,481,1299,744,803,,,,,ge-mob-pages
Hellbender,495831,2011-09-19T23:45:23Z,0,Hellbender,Salamander,,,,,,Water,,x,,,80,84,8970,9704,1616,1747,,,,,ge-mob-pages
Hellsbound Warrior,323339,2012-06-01T21:30:11Z,0,Hellsbound Warrior,Wight,,,,Gladiator,,Ice,Fire,Y,,,52,52,,,,,,,,,ge-mob-pages
Hellsfire Hedgemole,187049,2012-09-26T03:42:13Z,0,Hellsfire Hedgemole,Mole,,Hedgemole,,,,Earth,,,,,40,52,1606,3447,788,1356,,,,,ge-mob-pages
Hill Yarzon,326922,2012-06-03T21:25:13Z,0,Hill Yarzon,Yarzon,,,,,,,,Y,,,40,52,,,,,,,,,ge-mob-pages
Hippocerf,501643,2011-09-21T01:24:24Z,0,Hippocerf,Hippogryph,,,,,,Lightning,Earth,x,,,30,39,1462,1876,568,726,,,,,ge-mob-pages
Hippogryph,502151,2011-09-21T01:44:23Z,0,Hippogryph,Hippogryph,,,,,,Lightning,,A,,,65,74,4320,5157,1206,1438,,,,,ge-mob-pages
Hippogryph Pup,61669,2011-09-21T01:30:17Z,0,Hippogryph Pup,Hippogryph,,,,,,Lightning,,x,,,60,64,3914,4236,1095,1183,,,,,ge-mob-pages
Hispid Dormouse,69529,2011-09-18T02:32:58Z,0,Hispid Dormouse,Rodent,,,,,,Earth,,,,,45,49,2649,2866,819,885,,,,,ge-mob-pages
Honeybee Swarm,503800,2012-05-30T03:52:35Z,0,Honeybee Swarm,Swarm,Bees,,,,,Wind,,x,,,5,9,253,589,267,310,,,,,ge-mob-pages
Horde Mite,296201,2012-05-20T01:01:22Z,0,Horde Mite,Diremite,Miteling,,,,,,,Y,,,39,39,,,,,,,Assists Sargas,,ge-mob-pages
Hoverfly Swarm,359995,2012-05-30T03:52:48Z,0,Hoverfly Swarm,Swarm,,Syrphids,,,,Wind,,x,,,25,34,474,1233,492,638,,,,,ge-mob-pages
Hungry Dreadwolf,55863,2012-09-03T01:26:29Z,0,Hungry Dreadwolf,Wolf,,,,,,,,,,,,,,,,,,,,,ge-mob-pages
Hunter Kalong,500346,2011-09-18T02:23:26Z,0,Hunter Kalong,Bat,,Kalong,,,,Wind,,x,,,50,54,2193,2372,902,975,,,,,ge-mob-pages
Ice Elemental,456653,2011-09-19T17:57:33Z,0,Ice Elemental,Elemental,,,,,,Ice,Fire,Yes,,,30,59,1827,3489,2840,5370,x,,,,ge-mob-pages
Icebound Wrath,329803,2012-06-06T19:44:32Z,0,Icebound Wrath,Elemental,Ice Elemental,,,,,Ice,,Y,,Y,55,,,,,,Y,,,,ge-mob-pages
Ifrit,250848,2012-05-30T03:47:35Z,0,Ifrit,Primal,,,,,,Fire,Water,Yes,,Yes,35,55,,,,,Yes,Yes,,,ge-mob-pages
Ignis Fatuus (1.x),57320,2012-09-09T22:46:01Z,0,Ignis Fatuus,Bomb,,,,,,,,,,,,,,,,,x,x,,,ge-mob-pages
Ill-tempered Pteroc,326286,2012-06-03T16:53:45Z,0,Illtempered Pteroc.jpg,Puk,Pteroc,,,,,Wind,,,,,45,45,,,,,,,,,ge-mob-pages
Imperial Eques,356130,2012-09-08T22:24:10Z,0,Imperial Eques,Enemy Humanoid,,,,Lancer,,,,Y,,,50,55,,,,,,,,,ge-mob-pages
Imperial Hastatus,424717,2010-12-20T20:40:23Z,0,Imperial Hastatus,Enemy Humanoid,,,Quest,Lancer,Male,,,,,,,,,,,,,,,,ge-mob-pages
Imperial Hoplomachus,356358,2012-09-08T22:26:55Z,0,Imperial Hoplomachus,Enemy Humanoid,,,,Gladiator,,,,Y,,,50,55,,,,,,,,,ge-mob-pages
Imperial Juggernaut,12102,2012-05-21T06:03:27Z,0,Imperial Juggernaut,Juggernaut,,,,,,,,Y,,Y,50,50,14874,,2389,,,,"The juggernaut need not be fought directly; only the three imperials need to be defeated in order for the quest to progress. Occasionally, it will fire Magitek Cannon, which is virtually a guaranteed one-shot against the target. Be sure to avoid its targeting AoE, which will turn red and stop blinking for a moment before firing, at all costs.",,ge-mob-pages
Imperial Laqueairus,356293,2012-09-08T22:31:39Z,0,Imperial Laquearius,Enemy Humanoid,,,,Marauder,,,,Y,,,50,55,,,,,,,,,ge-mob-pages
Imperial Medicus,356449,2012-09-08T22:27:55Z,0,Imperial Medicus,Enemy Humanoid,,,,Conjurer,,,,Y,,,50,55,,,,,,,,,ge-mob-pages
Imperial Myrmillo,324024,2012-06-02T00:31:34Z,0,Imperial Myrmillo,Enemy Humanoid,Hyur,,,Marauder,Male,,,Y,,,52,52,,,,,,,,,ge-mob-pages
Imperial Pilus Prior,192411,2012-06-06T16:50:41Z,0,Imperial Pilus Prior,Enemy Humanoid,,,,Gladiator,Male,,,x,,x,50+,50+,,,,,,,Boss for Imperial Invasion. Uses Attrition.,,ge-mob-pages
Imperial Primus Ordinarius,323407,2012-06-01T21:31:44Z,0,Imperial Primus Ordinarius,Enemy Humanoid,Hyur,,,Gladiator,Male,,,Y,,,52,52,,,,,,,Must be defeated for the quest Into the Dark.,,ge-mob-pages
Imperial Retiarius,424675,2010-12-20T20:40:30Z,0,Imperial Retiarius,Enemy Humanoid,,,Quest,Lancer,Male,,,,,,,,,,,,,,,,ge-mob-pages
Imperial Sagitarius,356531,2012-09-08T22:23:41Z,0,Imperial Sagitarius,Enemy Humanoid,,,,Arhcer,,,,Y,,,50,55,,,,,,,,,ge-mob-pages
Imperial Secutor,356610,2012-09-08T22:20:27Z,0,Imperial Secutor,Enemy Humanoid,,,,Pugilist,,,,Y,,,50,55,,,,,,,,,ge-mob-pages
Imperial Signifer,356212,2012-09-08T22:26:00Z,0,Imperial Signifer,Enemy Humanoid,,,,Thaumaturge,,,,Y,,,50,55,,,,,,,,,ge-mob-pages
Imperial Speculator,424698,2012-06-01T21:35:37Z,0,Imperial Speculator,Enemy Humanoid,Hyur,,,Conjurer,Male,,,Y,,,22,52,,,,,,,,,ge-mob-pages
Imperial Triarius,424744,2011-10-23T03:10:55Z,0,Imperial Triarius,Enemy Humanoid,,,Quest,Gladiator,Male,,,,,,,,,,,,,,,,ge-mob-pages
Imperial Veles,323451,2012-06-01T21:37:16Z,0,Imperial Veles,Enemy Humanoid,Hyur,,,Pugilist,Male,,,Y,,,52,52,,,,,,,,,ge-mob-pages
Imperial War Hound,355999,2012-06-09T04:06:04Z,0,Imperial War Hound,Wolf,Hyena,,,,,Lightning,,Y,,,54,55,,,,,,,,,ge-mob-pages
Imptrap,503745,2011-10-24T06:08:52Z,0,Imptrap,Landtrap,,Flytrap,,,,Wind,,x,,,56,59,2303,2443,1013,1074,,,,,ge-mob-pages
Infernal Nail,319481,2012-08-08T19:52:25Z,0,Infernal Nail,Unknown,,,,,,Fire,Water,,,Y,35,55,,,,,Y,Y,Summoned by Ifrit prior to Hellfire. Destroying these reduces the damage of Hellfire. They do not attack.,,ge-mob-pages
Inferno Drake,474333,2011-09-19T01:11:41Z,0,Inferno Drake,Drake,,,,,,Fire,,x,,,75,79,4781,5173,1466,1585,,,,,ge-mob-pages
Inland Angler,421813,2011-09-21T22:07:05Z,0,Inland Angler,Angler,,,,,,Water,,x,,,20,44,246,858,427,803,,,,,ge-mob-pages
Iron Coblyn,493462,2012-05-31T20:56:42Z,0,Iron Coblyn,Coblyn,,,,,,Earth,Water,,,,28,34,366,1027,568,638,,,,,ge-mob-pages
Ironshell,259412,2012-08-09T16:28:03Z,0,Ironshell,Crab,,,,,,Water,,Y,"A, H",,35,35,,,,,,,Vulnerable only to polearm and magic damage.,,ge-mob-pages
Island Crab,270546,2011-09-23T15:46:52Z,0,Island Crab,Crab,,,,,,Water,,,,,30,39,1827,2344,568,726,,,,,ge-mob-pages
Ixali Boundwing,298439,2012-05-20T17:42:53Z,0,Ixali Boundwing,Ixal,,,,Marauder,,Wind,,Y,,,20,22,,,,,,,,,ge-mob-pages
Ixali Bravewing,329953,2012-06-06T20:12:36Z,0,Ixali Bravewing,Ixal,,,,Marauder,,Wind,,Y,,,53,,,,,,,,,,ge-mob-pages
Ixali Bravo,80643,2011-09-20T01:53:46Z,0,Ixali Bravo,Ixal,,,,,,Wind,,x,,,45,66,1802,2724,819,1230,,,,,ge-mob-pages
Ixali Fearcaller,298166,2012-05-20T17:26:46Z,0,Ixali Fearcaller,Ixal,,,,Conjurer,,Wind,,Y,,,20,22,,,,,,,,,ge-mob-pages
Ixali Fencer,160342,2011-09-20T01:51:49Z,0,Ixali Fencer,Ixal,,,,,,Wind,,x,,,40,54,2523,3321,744,975,,,,,ge-mob-pages
Ixali Fogcaller,330010,2012-07-12T23:45:23Z,0,Ixali Fogcaller,Ixal,,,,Thaumaturge,,Wind,,Y,,,53,56,,,,,,,,,ge-mob-pages
Ixali Sabreur,330132,2012-07-12T23:45:45Z,0,Ixali Sabreur,Ixal,,,,Gladiator,,Wind,,Y,,,53,56,,,,,,,,,ge-mob-pages
Ixali Scout,82875,2012-04-24T21:15:01Z,0,Ixali Scout,Ixal,,,,,,Wind,,Yes,,,52,,,,,,,,,,ge-mob-pages
Ixali Squire,298802,2012-05-20T17:45:17Z,0,Ixali Squire,Ixal,,,,Gladiator,,Wind,,Y,,,20,22,,,,,,,,,ge-mob-pages
Ixali Stillbeak,298595,2012-05-20T17:42:30Z,0,Ixali Stillbeak,Ixal,,,,Lancer,,Wind,,Y,,,20,22,,,,,,,,,ge-mob-pages
Ixali Strongbeak,330207,2012-07-12T23:48:53Z,0,Ixali Strongbeak,Ixal,,,,Lancer,,Wind,,Y,,,53,56,,,,,,,,,ge-mob-pages
J'moldva (Mob),321534,2012-06-01T02:56:24Z,0,J'moldva (Mob),Enemy Humanoid,Miqo'te,,,Lancer,Female,,,Y,,Y,30,30,,,,,Y,Y,,,ge-mob-pages
Jackal Pup,28893,2012-07-29T21:30:19Z,0,Jackal Pup,Wolf,Mongrel,,,,,Lightning,,Yes,,,18,21,333,403,360,440,,,"On Map 5, killing all 11 Jackal Pups is required to spawn the Lone Coeurl. They will not respawn until all 11 pups plus the NM are defeated.",,ge-mob-pages
Jackanapes,212492,2012-05-27T14:53:41Z,0,Jackanapes,Opo-opo,,,,,,Fire,,,,x,36,,15246,,676,,,,Can steal buffs using Deep Scratch. Also capable of passing on Debuffs to its target using Soil Smear.,,ge-mob-pages
Jellyfish,430413,2011-09-23T14:43:18Z,0,Jellyfish,Aurelia,,,,,,Water,,,,,10,26,174,618,322,506,,,,,ge-mob-pages
Jenlyns Straightblade,324315,2012-06-01T22:08:03Z,0,Jenlyns Straightblade,Enemy Humanoid,Hyur,,,Paladin,Male,,,Y,,Y,52,52,,,,,Y,Y,,,ge-mob-pages
Jetsam Jelly,90751,2012-08-08T19:33:16Z,0,Jetsam Jelly,Aurelia,,,,,,Water,,,P,,20,,1023,,427,,,,,,ge-mob-pages
Jumping Djigga,495908,2012-05-30T03:53:08Z,0,Jumping Djigga,Chigoe,,,,,,Fire,,x,,,30,39,1035,1758,568,726,,,"Aggressive, uses AOE poison that also damages self",,ge-mob-pages
Kalong,2819,2012-05-30T03:58:43Z,0,Kalong,Bat,,Kalong,,,,Wind,,x,,,35,39,1587,1758,657,726,,,,,ge-mob-pages
Karakul Ewe,421334,2011-09-18T22:39:56Z,0,Karakul Ewe,Ram,,,,,,Wind,,,,,30,54,439,1234,568,975,,,,,ge-mob-pages
Ked,38112,2012-04-30T01:03:02Z,0,Ked,Gnat,,Ked,,,,Lightning,,x,,,55,64,4193,5005,4970,5915,,,,,ge-mob-pages
Kedtrap,305143,2011-10-24T06:07:16Z,0,Kedtrap,Landtrap,,Flytrap,,,,Wind,,x,,,55,59,2258,2443,994,1074,,,,,ge-mob-pages
King Apkallu,42890,2011-09-18T01:32:22Z,0,King Apkallu,Apkallu,,,,,,Water,,x,,,60,64,2491,2695,1095,1183,,,,,ge-mob-pages
Kobold Acolyte,306964,2012-08-28T23:34:51Z,0,Kobold Acolyte,Kobold,,,,Thaumaturge,,Earth,,Yes,,,33,39,,,,,,,,,ge-mob-pages
Kobold Almsman,311459,2012-05-29T04:30:22Z,0,Kobold Almsman,Kobold,,,,CNJ,,Earth,,x,,,20,29,,,,,,,,,ge-mob-pages
Kobold Ascetic,311418,2012-05-29T04:30:50Z,0,Kobold Ascetic,Kobold,,,,THM,,Earth,,x,,,20,29,,,,,,,,,ge-mob-pages
Kobold Ashman,373191,2012-06-20T22:47:11Z,0,Kobold Ashman,Kobold,,,,Gladiator,,Earth,,Y,,,52,,,,,,,,,,ge-mob-pages
Kobold Bedesman,373239,2012-06-20T22:48:04Z,0,Kobold Bedesman,Kobold,,,,Conjurer,,Earth,,Y,,,52,,,,,,,,,,ge-mob-pages
Kobold Footman,307280,2012-08-28T23:35:43Z,0,Kobold Footman,Kobold,,,,Gladiator,,Earth,,Yes,,,33,39,,,,,,,,,ge-mob-pages
Kobold Junkman,373375,2012-06-20T22:50:47Z,0,Kobold Junkman,Kobold,,,,Marauder,,Earth,,Y,,,53,,,,,,,,,,ge-mob-pages
Kobold Kirkman,307442,2012-08-28T23:36:10Z,0,Kobold Kirkman,Kobold,,,,Conjurer,,Earth,,Yes,,,33,39,,,,,,,,,ge-mob-pages
Kobold Mendicant,51310,2011-09-20T02:06:52Z,0,Kobold Mendicant,Kobold,,,,,,Earth,,,,,40,49,1922,2293,3720,4425,,,,,ge-mob-pages
Kobold Packman,311493,2012-05-29T04:29:53Z,0,Kobold Packman,Kobold,,,,GLD,,Earth,,x,,,20,29,,,,,,,,,ge-mob-pages
Kobold Patrolman,62343,2012-10-16T03:04:40Z,0,Kobold Patrolman,Kobold,,,,,,Earth,,,,,47,49,,,,,,,,,ge-mob-pages
Kobold Pickman,311522,2012-05-29T04:31:46Z,0,Kobold Pickman,Kobold,,,,MRD,,Earth,,x,,,20,29,,,,,,,,,ge-mob-pages
Kobold Pitman,307062,2012-08-28T23:36:36Z,0,Kobold Pitman,Kobold,,,,Marauder,,Earth,,Yes,,,33,39,,,,,,,,,ge-mob-pages
Kobold Prelate,478314,2012-02-23T06:56:01Z,0,Kobold Prelate,Kobold,,,,Thaumaturge,,Earth,,Yes,,,50,54,2339,2842,3930,16000,,,,,ge-mob-pages
Kobold Quarryman,62176,2012-10-16T03:02:57Z,0,Kobold Quarryman,Kobold,,,,,,Earth,,,,,47,49,,,,,,,,,ge-mob-pages
Kobold Supplicant,154795,2011-10-05T03:12:57Z,0,Kobold Supplicant,Kobold,,,,Thaumaturge,,Earth,,,,,20,44,546,1429,427,4015,,,,,ge-mob-pages
Kobold Vestryman,62113,2012-10-16T03:01:16Z,0,Kobold Vestryman,Kobold,,,,,,Earth,,,,,47,49,,,,,,,,,ge-mob-pages
Kokoroon Quickfingers,210881,2012-07-04T15:28:41Z,0,Kokoroon Quickfingers,Qiqirn,,,,Pugilist,,Earth,,x,,x,49,50,25794,26307,885,902,,,"Attacks include basic auto attack, Misdirection, and Sandspray. Casts Kibosh to inflict player with Amnesia.",,ge-mob-pages
Kraken Deckhand,487112,2012-05-26T16:24:57Z,0,Kraken Deckhand,Enemy Humanoid,Hyur,,,Marauder,Male,,,Y,,Y,25,25,,,,,Y,Y,Only the final Kraken Deckhand will drop a Counterfeit Chip Mold. Defeating Kraken Deckhands will cause treasure chests to spawn which may also contain a Counterfeit Chip Mold.,,ge-mob-pages
Ladybug,358925,2012-06-04T20:32:01Z,0,Ladybug,Beetle,,,,,,Fire,,,,,20,32,751,1508,427,552,,,"* South Shroud Ladybug: ** May share spawn with Fallgourd Funguar, Roselet, and Plains Footpad.",,ge-mob-pages
Lake Crab,60390,2012-06-03T17:12:35Z,0,Lake Crab,Crab,,,,,,Water,,,,,40,68,721,1875,744,1279,,,,,ge-mob-pages
Lammergeyer,493375,2012-06-08T02:46:19Z,0,Lammergeyer,Vulture,Vulture,,,,,Wind,,x,,,55,59,2097,2268,994,1074,,,,,ge-mob-pages
Land Angler,502308,2011-09-21T22:15:02Z,0,Land Angler,Angler,,,,,,Water,,x,,,25,29,813,1065,492,552,,,,,ge-mob-pages
Laughing Mongrel,493584,2011-09-19T00:19:57Z,0,Laughing Mongrel,Wolf,,,,,,Lightning,Earth,x,,,55,59,2903,3141,994,1074,,,,,ge-mob-pages
Lava Drake,323487,2012-06-01T21:38:57Z,0,Lava Drake,Drake,,,,,,Fire,Water,Y,,,52,52,,,,,,,,,ge-mob-pages
Lead Coblyn,433945,2012-05-31T00:09:04Z,0,Lead Coblyn,Coblyn,Coblyn,,,,,Earth,Water,,,,15,19,236,663,370,415,,,,,ge-mob-pages
Lemur,499931,2012-09-29T08:38:27Z,0,Lemur,Opo-opo,,,,,,Fire,,,,,40,49,2042,2437,744,885,,,,,ge-mob-pages
Lightning Beetle,500036,2011-09-23T00:07:12Z,0,Lightning Beetle,Firefly,,,,,,Fire,,,,,15,19,944,1061,370,415,,,,,ge-mob-pages
Lightning Elemental,281387,2012-06-06T19:45:25Z,0,Lightning Elemental,Elemental,,,,,,Lightning,Earth,Yes,,,30,77,1827,4973,2840,7620,x,,,,ge-mob-pages
Lily of the Vale,373412,2012-06-20T22:49:46Z,0,Lily of the Vale,Landtrap,,,,,,Earth,,Y,,,53,,,,,,,,,,ge-mob-pages
Lindwurm,495955,2011-09-19T03:39:17Z,0,Lindwurm,Raptor,,,,,,Fire,,x,,,65,74,4124,4923,1206,1438,,,"Seems to aggro on sight, not sound.",,ge-mob-pages
Little Apkallu,69414,2011-09-18T01:37:00Z,0,Little Apkallu,Apkallu,,,,,,Water,,x,,,50,54,2047,2214,902,975,,,,,ge-mob-pages
Lone Coeurl,108451,2012-02-25T22:32:42Z,0,Lone Coeurl,Coeurl,,,,,,Lightning,,Yes,,Yes,22,,3728,,433,,,,Can be spawned by defeating all 11 Jackal Pups around Llymlaen's Stand outside of his cage. Spawns in the Hall of Serpents.,,ge-mob-pages
Lone Wolf,499038,2011-09-19T00:23:20Z,0,Lone Wolf,Wolf,,,,,,Lightning,Earth,x,,,15,24,1062,1380,370,478,,,,,ge-mob-pages
Longclaw Galago,478870,2012-06-23T05:37:03Z,0,Longclaw Galago,Opo-opo,,,,,,Fire,,,,,30,54,439,1234,568,975,,,,,ge-mob-pages
Longhorn Billygoat,30228,2012-07-29T18:38:57Z,0,Longhorn Billygoat,Aldgoat,,,,,Male,Earth,,Y,,,55,,,,,,Y,Y,Spawns along with Longhorn Nannygoats and Elder Longhorn,,ge-mob-pages
Longhorn Nannygoat,30368,2012-07-29T18:39:27Z,0,Longhorn Nannygoat,Aldgoat,,,,,Female,Earth,,Y,,,55,,,,,,Y,Y,Spawns along with Longhorn Billygoats and Elder Longhorn,,ge-mob-pages
Lost Ewe,361549,2011-09-18T22:42:39Z,0,Lost Ewe,Ram,,Sheep,,,Female,Wind,,,,,5,9,463,735,267,310,,,,,ge-mob-pages
Lost Lamb (Mob),51914,2011-10-29T20:16:18Z,0,Lost Lamb,Ram,,,,,,Wind,,,,,1,4,397,606,230,257,,,,,ge-mob-pages
Lost Wether,388162,2011-09-18T23:35:02Z,0,Lost Wether,Ram,,,,,Male,Wind,,,,,1,4,397,735,230,310,,,,,ge-mob-pages
Loverly Ladybird,435332,2011-09-21T23:44:54Z,0,Loverly Ladybird,Beetle,,,,,,Fire,,,,,25,29,868,1508,492,552,,,,,ge-mob-pages
Lowland Billygoat,417460,2012-06-05T05:28:03Z,0,Lowland Billygoat,Aldgoat,,,,,Male,Earth,,,,,30,54,658,1613,568,975,,,,,ge-mob-pages
Lowland Nannygoat,460354,2012-06-23T05:22:42Z,0,Lowland Nannygoat,Aldgoat,,,,,Female,Earth,,,,,20,54,614,1898,427,975,,,,,ge-mob-pages
Lozol Totoloq the Decapitator,300119,2012-06-08T00:38:24Z,0,Natalan,Ixal,,,,Gladiator,,Wind,,Yes,,Yes,59,59,,,,,,,,,ge-mob-pages
Lunar Fragment,26786,2012-08-14T04:33:09Z,0,Lunar Fragment,Unknown,,,,,,,,,,,45,,,,,,,,Will explode if they reach the ground before being destroyed.,,ge-mob-pages
Lunar Golem,26906,2012-08-14T05:14:12Z,0,Lunar Golem,Golem,,,,,,Earth,,Y,,,50,,,,,,Y,Y,,,ge-mob-pages
Lunging Lemur,327386,2012-06-03T19:04:40Z,0,Lunging Lemur,Opo-opo,Lemur,,,,,Earth,,,,,40,52,,,,,,,,,ge-mob-pages
Mad Angler,495589,2011-09-22T00:59:56Z,0,Mad Angler,Angler,,,,,,Water,,x,,,35,39,1116,1407,657,726,,,,,ge-mob-pages
Mad Karakul Ewe,501995,2012-08-07T18:14:08Z,0,Mad Karakul Ewe,Ram,,,,,Female,Wind,,x,A,,45,49,2120,2293,819,885,,,,,ge-mob-pages
Magicked Bones,449127,2012-04-19T00:53:53Z,0,Magicked Bones,Wight,,,,,,Ice,,x,,,25,34,1578,2054,492,638,,,"Skull eyepatch is obtained by removing the head of the magicked bones through using a weapon skill that targets the head, such as Concussive Blow II.",,ge-mob-pages
Magitek Transmitter,355480,2012-08-08T20:06:37Z,0,Magitek Transmitter,Unknown,,,,,,,,,,,55,,,,,,N,N,,,ge-mob-pages
Magitek Vanguard,241161,2012-07-30T19:02:53Z,0,Magitek Vanguard,Magitek Armor,,,,,,,,Yes,,,55,58,,,,,,,Resets hate on occasion.,,ge-mob-pages
Magitek Vanguard F-1,354863,2012-06-09T03:30:14Z,0,Magitek Vanguard F-1,Magitek Armor,,,,,,,,Y,,,63,,,,,,,,,,ge-mob-pages
Magitek Vanguard H-1,354742,2012-07-23T07:29:35Z,0,Magitek Vanguard H-1,Magitek Armor,,,,,,,,Y,,,61,63,,,,,,,,,ge-mob-pages
Maidenbug,495873,2012-09-30T04:55:09Z,0,Maidenbug,Beetle,,,,,,Fire,,,,,28,39,1164,1993,657,726,,,,,ge-mob-pages
Maned Wyrmhound,474304,2011-10-02T05:54:05Z,0,Maned Wyrmhound,Basilisk,,,,,,Fire,,x,,,75,79,6455,6984,1466,1585,,,,,ge-mob-pages
Manipulated Eye,324675,2012-06-06T18:48:37Z,0,Manipulated Eye,Ahriman,,,,,,,,Y,,Y,55,,,,,,,,,,ge-mob-pages
