mob_name,zone,map_coords,event_or_quest,level_range,drops,behavior_flags,source
Lowland Nannygoat,Cassiopeia Hollow,6-5,Spooring Spores,,"{{Drops|Name=Aldgoat Skin||}}, {{Drops|Name=Aldgoat Milk||}}, {{Drops|Name=Aldgoat Chuck||}}",P,ge-mob-pages
Lowland Nannygoat,Lower La Noscea,,Where the Goat Goes,,"{{Drops|Name=Aldgoat Skin||}}, {{Drops|Name=Aldgoat Milk||}}, {{Drops|Name=Aldgoat Chuck||}}",P,ge-mob-pages
Lowland Nannygoat,Eastern La Noscea,,,,"{{Drops|Name=Aldgoat Skin||}}, {{Drops|Name=Aldgoat Milk||}}, {{Drops|Name=Aldgoat Chuck||}}",P,ge-mob-pages
Lowland Nannygoat,Central Shroud,,Necrologos: Celeritous Impetus,30-42,"{{Drops|Name=Aldgoat Skin|1|2}}, {{Drops|Name=Aldgoat Milk|0|1}}, {{Drops|Name=Aldgoat Chuck|0|1}}, {{Drops|Name=Sagolii Sage|1|2}}",P,ge-mob-pages
Lowland Nannygoat,South Shroud,,,,"{{Drops|Name=Aldgoat Skin||}}, {{Drops|Name=Aldgoat Milk||}}, {{Drops|Name=Aldgoat Chuck||}}",P,ge-mob-pages
Lowland Nannygoat,Western Thanalan,Nophica's Wells,Dodos and Popotoes,30-42,"{{Drops|Name=Aldgoat Skin|0|2}}, {{Drops|Name=Aldgoat Milk|0|2}}, {{Drops|Name=Aldgoat Chuck|0|2}}",P,ge-mob-pages
Lozol Totoloq the Decapitator,Natalan,,,59,"{{Drops|Name=Gold Natalan Coffer Key|Link=|0|0}}, {{Drops|Name=Ixali Willowknot|Link=|0|0}}, {{Drops|Name=Vortex Headdress|Link=|0|0}}",A,ge-mob-pages
Lunar Fragment,Rivenroad,1-1,To Kill a Raven,45,,P,ge-mob-pages
Lunar Fragment,Rivenroad,1-1,The Raven Nevermore,45,{{Drops|Name=Deaspected Cluster|0|0}},P,ge-mob-pages
Lunar Golem,Rivenroad,1-1,To Kill a Raven,50,,A,ge-mob-pages
Lunar Golem,Rivenroad,1-1,The Raven Nevermore,50,,A,ge-mob-pages
Lunging Lemur,North Shroud,,A Fine Host,40-52,"{{Drops|Name=Lalafellin Lentil|Link=|2|2}}, {{Drops|Name=Wizard Eggplant|Link= |1|2}}",,ge-mob-pages
Mad Angler,Upper La Noscea,,,,"{{Drops|Name=Scallop Shell||}},{{Drops|Name=Orobon Liver||}},{{Drops|Name=Miter Shell||}},{{Drops|Name=Hawksbill Shell||}}",A,ge-mob-pages
Mad Angler,East Shroud,,,,"{{Drops|Name=Scallop Shell||}},{{Drops|Name=Orobon Liver||}},{{Drops|Name=Miter Shell||}},{{Drops|Name=Hawksbill Shell||}}",A,ge-mob-pages
Mad Angler,Eastern Thanalan,,,,"{{Drops|Name=Scallop Shell||}},{{Drops|Name=Orobon Liver||}},{{Drops|Name=Miter Shell||}},{{Drops|Name=Hawksbill Shell||}}",A,ge-mob-pages
Mad Angler,Southern Thanalan,,,,"{{Drops|Name=Scallop Shell||}},{{Drops|Name=Orobon Liver||}},{{Drops|Name=Miter Shell||}},{{Drops|Name=Hawksbill Shell||}}",A,ge-mob-pages
Mad Karakul Ewe,Coerthas Central Highlands,38-18,,,{{Drops|Name=Karakul Loin||}},A,ge-mob-pages
Mad Karakul Ewe,Coerthas Eastern Lowlands,52-24,,,{{Drops|Name=Karakul Loin||}},A,ge-mob-pages
Magicked Bones,Eastern La Noscea,,,25 - 29,"{{Drops|Name=Bone Chip||}},{{Drops|Name=Soiled Femur||}},{{Drops|Name=Bronze Chain||}},{{Drops|Name=Skull Eyepatch (Black)||}},{{Drops|Name=Dodo Feather||}},{{Drops|Name=Bat Fang||}},{{Drops|Name=Crow Feather||}},{{Drops|Name=Gnat Wing||}},{{Drops|Name=Eye of Water||}},{{Drops|Name=Aldgoat Chuck||}},{{Drops|Name=Radiant Water Moraine||}},{{Drops|Name=Chocobo Fly||}}",A,ge-mob-pages
Magicked Bones,Lower La Noscea,32-28,,25 - 34,"{{Drops|Name=Bone Chip||}},{{Drops|Name=Soiled Femur||}},{{Drops|Name=Bronze Chain||}},{{Drops|Name=Skull Eyepatch (Black)||}},{{Drops|Name=Dodo Feather||}},{{Drops|Name=Bat Fang||}},{{Drops|Name=Crow Feather||}},{{Drops|Name=Gnat Wing||}},{{Drops|Name=Eye of Water||}},{{Drops|Name=Aldgoat Chuck||}},{{Drops|Name=Radiant Water Moraine||}},{{Drops|Name=Chocobo Fly||}},{{Drops|Name=Silver Goblet||}},{{Drops|Name=Puk Wing||}},{{Drops|Name=Cotton Boll||}},{{Drops|Name=Cock Feather||}}",A,ge-mob-pages
Magicked Bones,Western La Noscea,,,25 - 29,"{{Drops|Name=Bone Chip||}},{{Drops|Name=Soiled Femur||}},{{Drops|Name=Bronze Chain||}},{{Drops|Name=Skull Eyepatch (Black)||}},{{Drops|Name=Dodo Feather||}},{{Drops|Name=Bat Fang||}},{{Drops|Name=Crow Feather||}},{{Drops|Name=Gnat Wing||}},{{Drops|Name=Eye of Water||}},{{Drops|Name=Aldgoat Chuck||}},{{Drops|Name=Radiant Water Moraine||}},{{Drops|Name=Chocobo Fly||}}",A,ge-mob-pages
Magicked Bones,Western Thanalan,,,25 - 29,"{{Drops|Name=Bone Chip||}},{{Drops|Name=Soiled Femur||}},{{Drops|Name=Bronze Chain||}},{{Drops|Name=Skull Eyepatch (Black)||}},{{Drops|Name=Dodo Feather||}},{{Drops|Name=Bat Fang||}},{{Drops|Name=Crow Feather||}},{{Drops|Name=Gnat Wing||}},{{Drops|Name=Eye of Water||}},{{Drops|Name=Aldgoat Chuck||}},{{Drops|Name=Radiant Water Moraine||}},{{Drops|Name=Chocobo Fly||}}",A,ge-mob-pages
Magicked Bones,Central Shroud,25-30,,30 - 34,"{{Drops|Name=Bone Chip||}},{{Drops|Name=Soiled Femur||}},{{Drops|Name=Bronze Chain||}},{{Drops|Name=Skull Eyepatch (Black)||}},{{Drops|Name=Silver Goblet||}},{{Drops|Name=Puk Wing||}},{{Drops|Name=Cotton Boll||}},{{Drops|Name=Bat Fang||}},{{Drops|Name=Cock Feather||}}",A,ge-mob-pages
Magicked Bones,The Mun-Tuy Cellars,,,30 - 34,"{{Drops|Name=Bone Chip||}},{{Drops|Name=Soiled Femur||}},{{Drops|Name=Bronze Chain||}},{{Drops|Name=Skull Eyepatch (Black)||}},{{Drops|Name=Silver Goblet||}},{{Drops|Name=Puk Wing||}},{{Drops|Name=Cotton Boll||}},{{Drops|Name=Bat Fang||}},{{Drops|Name=Cock Feather||}}",A,ge-mob-pages
Magicked Bones,Nanawa Mines,5-2,,30 - 34,"{{Drops|Name=Bone Chip||}},{{Drops|Name=Soiled Femur||}},{{Drops|Name=Bronze Chain||}},{{Drops|Name=Skull Eyepatch (Black)||}},{{Drops|Name=Silver Goblet||}},{{Drops|Name=Puk Wing||}},{{Drops|Name=Cotton Boll||}},{{Drops|Name=Bat Fang||}},{{Drops|Name=Cock Feather||}}",A,ge-mob-pages
Magicked Bones,Coerthas Central Highlands,,,,"{{Drops|Name=Bone Chip||}},{{Drops|Name=Soiled Femur||}},{{Drops|Name=Bronze Chain||}}",A,ge-mob-pages
Magitek Transmitter,Castrum Novum,,United We Stand,55,,P,ge-mob-pages
Magitek Vanguard,West Shroud,Crimson Bark,Shadow of the Raven,55,,A,ge-mob-pages
Magitek Vanguard,Western Thanalan,Horizon's Edge,Careless Whispers,55,,A,ge-mob-pages
Magitek Vanguard,Western La Noscea,Aleport,Deus ex Machina,55,,A,ge-mob-pages
Magitek Vanguard,Castrum Novum,,,58,,A,ge-mob-pages
Magitek Vanguard F-1,Castrum Novum,,United We Stand,63,,A,ge-mob-pages
Magitek Vanguard H-1,Castrum Novum,,,61,"{{Drops|Name=Garlean Steel Joint |Link=|0|0}}, {{Drops|Name=Garlean Steel Plate |Link=|0|0}}, {{Drops|Name=Garlean Fiber |Link=|0|0}}, {{Drops|Name=Garlean Rubber |Link=|0|0}}, {{Drops|Name=Legionary Visor |Link=|0|0}}, {{Drops|Name=Copper Castrum Coffer Key|Link=|0|0}}",A,ge-mob-pages
Magitek Vanguard H-1,Castrum Novum,,,62,"{{Drops|Name=Garlean Steel Joint |Link=|0|0}}, {{Drops|Name=Garlean Steel Plate |Link=|0|0}}, {{Drops|Name=Garlean Fiber |Link=|0|0}}, {{Drops|Name=Garlean Rubber |Link=|0|0}}, {{Drops|Name=Legionary Visor |Link=|0|0}}, {{Drops|Name=Silver Castrum Coffer Key|Link=|0|0}}",A,ge-mob-pages
Magitek Vanguard H-1,Castrum Novum,,,63,"{{Drops|Name=Garlean Steel Joint |Link=|0|0}}, {{Drops|Name=Garlean Steel Plate |Link=|0|0}}, {{Drops|Name=Garlean Fiber |Link=|0|0}}, {{Drops|Name=Garlean Rubber |Link=|0|0}}, {{Drops|Name=Legionary Visor |Link=|0|0}}, {{Drops|Name=Gold Castrum Coffer Key|Link=|0|0}}",A,ge-mob-pages
Maidenbug,Nanawa Mines,"6-4, 6-5",,35 - 39,"{{Drops|Name=Ladybug Elytron||}}, {{Drops|Name=Cotton Boll||}}, {{Drops|Name=Moko Grass||}}, {{Drops|Name=Flax||}}",P,ge-mob-pages
Maidenbug,Mistbeard Cove,5-5,,28-30,"{{Drops|Name=Flax|9|50}},{{Drops|Name=Moko Grass|15|50}},{{Drops|Name=Cotton Boll|10|50}}",P,ge-mob-pages
Maidenbug,Upper La Noscea,16-14,,,,P,ge-mob-pages
Maned Wyrmhound,Coerthas Central Lowlands,37-41,,,,A,ge-mob-pages
Manipulated Eye,Northern Thanalan,27-14,Keeping the Oath,55,{{Drops|Name=Chocobo Feather|Link=|1|2}},A,ge-mob-pages
Manipulated Ogre,Northern Thanalan,27-14,Keeping the Oath,55,{{Drops|Name=Soiled Femur|Link=|3|2}},A,ge-mob-pages
Marshlight,The Mun-Tuy Cellars,5-4,,,"{{Drops|Name=Red Coral|1|3}},{{Drops|Name=Obsidian|2|3}}",A,ge-mob-pages
Marshlight,Western Thanalan,20-36,,,"{{Drops|Name=Firepot|1|2}},{{Drops|Name=Red Coral|1|2}}",A,ge-mob-pages
Megalocrab,Lower La Noscea,,,,"{{Drops|Name=Megalocrab Leg||}},{{Drops|Name=Silver Fish Hook||}},{{Drops|Name=Malm Kelp||}},{{Drops|Name=Green Stainsand||}},{{Drops|Name=Blue Stainsand||}}",P,ge-mob-pages
Megalocrab,Cassiopeia Hollow,,"Crabs in a Barrel, Escape from Cell D72",,"{{Drops|Name=Megalocrab Leg||}},{{Drops|Name=Silver Fish Hook||}},{{Drops|Name=Malm Kelp||}},{{Drops|Name=Green Stainsand||}},{{Drops|Name=Blue Stainsand||}}",P,ge-mob-pages
Megalocrab,Western Thanalan,,,,"{{Drops|Name=Megalocrab Leg||}},{{Drops|Name=Silver Fish Hook||}},{{Drops|Name=Malm Kelp||}},{{Drops|Name=Green Stainsand||}},{{Drops|Name=Blue Stainsand||}}",P,ge-mob-pages
Megalocrab,Nanawa Mines,,,,"{{Drops|Name=Megalocrab Leg||}},{{Drops|Name=Silver Fish Hook||}},{{Drops|Name=Malm Kelp||}},{{Drops|Name=Green Stainsand||}},{{Drops|Name=Blue Stainsand||}}",P,ge-mob-pages
Mickle Mouse,North Shroud,,Eyeopener,40-52,{{Drops|Name=Dragon Pepper|Link=|1|1}},P,ge-mob-pages
Midge Cloud (1.x),Central Thanalan,,Sucking Blood,,,,ge-mob-pages
Midge Cloud (1.x),Eastern Thanalan,,Sucking Blood Again,,,,ge-mob-pages
Migrating Doe,Coerthas Central Highlands,,,34-38,"{{Drops|Name=Antelope Shank|0|0}}, {{Drops|Name=Antelope Sinew|0|0}}, {{Drops|Name=Midland Basil |0|0}}",P,ge-mob-pages
Migrating Doe,East Shroud,,,,,P,ge-mob-pages
Migrating Doe,Coerthas Central Highlands,Humblehearth,Woes of the Botanist,42,"{{Drops|Name=Antelope Sinew|2|3}}, {{Drops|Name=Midland Basil |1|3}}",P,ge-mob-pages
Mildewed Goobbue,Upper La Noscea,21-12,,,,A,ge-mob-pages
Mirror Roselet,Central Shroud,Humblehearth,,25-29,"{{Drops|Name=Cotton Boll|Link=|3|3}}, {{Drops|Name=Flax|Link=|1|3}}",A,ge-mob-pages
Mistbeard Buccaneer,Mistbeard Cove,"5-6, 9-4, 10-6",,45-49,"{{Drops|Name=Ala Mhigan Mustard|1|7}},{{Drops|Name=Black Pepper|2|7}},{{Drops|Name=Hawksbill Shell|2|7}},{{Drops|Name=Faerie Apple|4|7}}",,ge-mob-pages
Miteling,Western Thanalan,,,,"{{Drops|Name=Taupe Scale Bugs|1|5}}, {{Drops|Name=Diremite Web|1|5}}",A,ge-mob-pages
Miteling Straggler,Mun-Tuy Cellars,4-6,Seeds of Initiative,33,,A,ge-mob-pages
Mitetrap,The Thousand Maws of Toto-Rak,,,39,,A,ge-mob-pages
Moiling Mole,Central Thanalan,25-22,,15,,P,ge-mob-pages
Molting Megalocrab,North Shroud,,,,"{{Drops|Name=Megalocrab Leg||}},{{Drops|Name=Silver Fish Hook||}},{{Drops|Name=Malm Kelp||}},{{Drops|Name=Green Stainsand||}},{{Drops|Name=Blue Stainsand||}}",P,ge-mob-pages
Molting Megalocrab,South Shroud,,Migrating Crustaceans,,"{{Drops|Name=Megalocrab Leg||}},{{Drops|Name=Silver Fish Hook||}},{{Drops|Name=Malm Kelp||}},{{Drops|Name=Green Stainsand||}},{{Drops|Name=Blue Stainsand||}}",P,ge-mob-pages
Molting Miteling,Nanawa Mines,,,,"{{Drops|Name=Desert-yellow Scale Bugs|1|5}}, {{Drops|Name=Russet-brown Scale Bugs|1|5}}, {{Drops|Name=Deepsea-blue Dyer's Moss||}}",A,ge-mob-pages
Molting Miteling,North Shroud,,,,,A,ge-mob-pages
Molting Miteling,The Mun-Tuy Cellars,,,30,"{{Drops|Name=Desert-yellow Scale Bugs||}}, {{Drops|Name=Russet-brown Scale Bugs||}}, {{Drops|Name=Diremite Sinew||}}, {{Drops|Name=Diremite Web||}}, {{Drops|Name=Taupe Scale Bugs||}}",A,ge-mob-pages
Molting Miteling,Southern Thanalan,,,,"{{Drops|Name=Desert-yellow Scale Bugs||}}, {{Drops|Name=Russet-brown Scale Bugs||}}, {{Drops|Name=Diremite Sinew||}}, {{Drops|Name=Diremite Web||}}, {{Drops|Name=Taupe Scale Bugs||}}, {{Drops|Name=Shale-brown Dyer's Moss||}}, {{Drops|Name=Saffron-yellow Dyer's Moss||}}",A,ge-mob-pages
Moon-eared Mouse,Western La Noscea,6-20,Hunter's Moon (2011),25,"{{Drops|Name=Moonlet|0|0}}, {{Drops|Name=Dalamud Nut|0|0}}, {{Drops|Name=Moon Nut|0|0}}",P,ge-mob-pages
Moon-eared Mouse,Eastern La Noscea,36-25,Hunter's Moon (2011),25,"{{Drops|Name=Moonlet|0|0}}, {{Drops|Name=Dalamud Nut|0|0}}, {{Drops|Name=Moon Nut|0|0}}",P,ge-mob-pages
Moon-eared Mouse,East Shroud,49-33,Hunter's Moon (2011),25,"{{Drops|Name=Moonlet|0|0}}, {{Drops|Name=Dalamud Nut|0|0}}, {{Drops|Name=Moon Nut|0|0}}",P,ge-mob-pages
Moon-eared Mouse,South Shroud,35-43,Hunter's Moon (2011),25,"{{Drops|Name=Moonlet|0|0}}, {{Drops|Name=Dalamud Nut|0|0}}, {{Drops|Name=Moon Nut|0|0}}",P,ge-mob-pages
Moon-eared Mouse,Eastern Thanalan,40-28,Hunter's Moon (2011),25,"{{Drops|Name=Moonlet|0|0}}, {{Drops|Name=Dalamud Nut|0|0}}, {{Drops|Name=Moon Nut|0|0}}",P,ge-mob-pages
Moon-eared Mouse,Western Thanalan,9-27,Hunter's Moon (2011),25,"{{Drops|Name=Moonlet|0|0}}, {{Drops|Name=Dalamud Nut|0|0}}, {{Drops|Name=Moon Nut|0|0}}",P,ge-mob-pages
Moon-eyed Mouse,Western La Noscea,6-20,Hunter's Moon (2011),15,"{{Drops|Name=Moonlet|0|0}}, {{Drops|Name=Dalamud Nut|0|0}}, {{Drops|Name=Moon Nut|0|0}}",P,ge-mob-pages
Moon-eyed Mouse,Eastern La Noscea,36-25,Hunter's Moon (2011),15,"{{Drops|Name=Moonlet|0|0}}, {{Drops|Name=Dalamud Nut|0|0}}, {{Drops|Name=Moon Nut|0|0}}",P,ge-mob-pages
Moon-eyed Mouse,East Shroud,49-33,Hunter's Moon (2011),15,"{{Drops|Name=Moonlet|0|0}}, {{Drops|Name=Dalamud Nut|0|0}}, {{Drops|Name=Moon Nut|0|0}}",P,ge-mob-pages
Moon-eyed Mouse,South Shroud,35-43,Hunter's Moon (2011),15,"{{Drops|Name=Moonlet|0|0}}, {{Drops|Name=Dalamud Nut|0|0}}, {{Drops|Name=Moon Nut|0|0}}",P,ge-mob-pages
Moon-eyed Mouse,Eastern Thanalan,40-28,Hunter's Moon (2011),15,"{{Drops|Name=Moonlet|0|0}}, {{Drops|Name=Dalamud Nut|0|0}}, {{Drops|Name=Moon Nut|0|0}}",P,ge-mob-pages
Moon-eyed Mouse,Western Thanalan,9-27,Hunter's Moon (2011),15,"{{Drops|Name=Moonlet|0|0}}, {{Drops|Name=Dalamud Nut|0|0}}, {{Drops|Name=Moon Nut|0|0}}",P,ge-mob-pages
Moon-toothed Mouse,Western La Noscea,6-20,Hunter's Moon (2011),35,"{{Drops|Name=Moonlet|0|0}}, {{Drops|Name=Dalamud Nut|0|0}}, {{Drops|Name=Moon Nut|0|0}}",P,ge-mob-pages
Moon-toothed Mouse,Eastern La Noscea,36-25,Hunter's Moon (2011),35,"{{Drops|Name=Moonlet|0|0}}, {{Drops|Name=Dalamud Nut|0|0}}, {{Drops|Name=Moon Nut|0|0}}",P,ge-mob-pages
Moon-toothed Mouse,East Shroud,49-33,Hunter's Moon (2011),35,"{{Drops|Name=Moonlet|0|0}}, {{Drops|Name=Dalamud Nut|0|0}}, {{Drops|Name=Moon Nut|0|0}}",P,ge-mob-pages
Moon-toothed Mouse,South Shroud,35-43,Hunter's Moon (2011),35,"{{Drops|Name=Moonlet|0|0}}, {{Drops|Name=Dalamud Nut|0|0}}, {{Drops|Name=Moon Nut|0|0}}",P,ge-mob-pages
Moon-toothed Mouse,Eastern Thanalan,40-28,Hunter's Moon (2011),35,"{{Drops|Name=Moonlet|0|0}}, {{Drops|Name=Dalamud Nut|0|0}}, {{Drops|Name=Moon Nut|0|0}}",P,ge-mob-pages
Moon-toothed Mouse,Western Thanalan,9-27,Hunter's Moon (2011),35,"{{Drops|Name=Moonlet|0|0}}, {{Drops|Name=Dalamud Nut|0|0}}, {{Drops|Name=Moon Nut|0|0}}",P,ge-mob-pages
Moonblind Dodo,Western Thanalan,16-29,The Unheard Horizon,,"{{Drops|Name=Dodo Feather||}},{{Drops|Name=Dodo Tenderloin||}},{{Drops|Name=Dodo Skin||}},{{Drops|Name=Dodo Egg||}},{{Drops|Name=Salt Leek||}}",P,ge-mob-pages
Moraby Mole,Eastern La Noscea,"18-34, 32-22, 40-18, 34-18, 32-21, 31-21",,15 - 19,"{{Drops|Name=Mole Meat|4|22}}, {{Drops|Name=Mole Sinew|5|22}}, {{Drops|Name=Bloodworm|14|22}}, {{Drops|Name=Chicken Egg|1|22}}",P,ge-mob-pages
Morbol,Central Shroud,38-26,,,,A,ge-mob-pages
Mosshorn Billygoat,Western Thanalan,,,55,,A,ge-mob-pages
Mosshorn Nannygoat,Western Thanalan,,,55,,A,ge-mob-pages
Mossy Goobbue,Eastern La Noscea,37-14,,,,"A, H",ge-mob-pages
Mottled Eft,Western La Noscea,,Off With Their Heads,,,P,ge-mob-pages
Mottled Eft,Upper La Noscea,,Annexing the Lake,,,P,ge-mob-pages
Mountain Peiste,Mor Dhona,,,,,,ge-mob-pages
Mountain Peiste,Coerthas Central Highlands,32-25,,51-53,"{{Drops|Name=Basilisk Egg|0|3}}, {{Drops|Name=Peiste Skin|0|3}}, {{Drops|Name=Black Scorpion|2|3}}, {{Drops|Name=Mudstone|1|3}}",,ge-mob-pages
Mountain Peiste,Coerthas Western Highlands,23-31,,,,,ge-mob-pages
Mudpuppy,South Shroud,,,,,A,ge-mob-pages
Mummer's Lantern,The Mun-Tuy Cellars,,Sly Spirits,30-42,,P,ge-mob-pages
Mun-Tuy Sapling,The Thousand Maws of Toto-Rak,,,39,,A,ge-mob-pages
Mun-Tuy Squirrel,Central Shroud,,,22-34,{{Drops|Name=Gridanian Chestnut|Link=|1|1}},P,ge-mob-pages
Mun-Tuy Squirrel,North Shroud,,,,,P,ge-mob-pages
Mun-Tuy Squirrel,The Mun-Tuy Cellars,6-8,,,,P,ge-mob-pages
Musk Roseling,Eastern La Noscea,35-24,,20,"{{Drops|Name=Red Landtrap Leaf|Link=|6|10}}, {{Drops|Name=Cloves|Link=|2|10}}, {{Drops|Name=Musk Roseling Pollen|Link=Quest Item|1000|1000}}",A,ge-mob-pages
Musk Stag,North Shroud,,A Fine Host,40-52,,P,ge-mob-pages
Myrmidon Drone,Cutter's Cry,,,50,,A,ge-mob-pages
Myrmidon Guard,Cutter's Cry,,,55,,A,ge-mob-pages
Myrmidon Princess,Cutter's Cry,,,59,,A,ge-mob-pages
Myrmidon Sentry,Cutter's Cry,,,56,,A,ge-mob-pages
Myrmidon Soldier,Cutter's Cry,,,45,,A,ge-mob-pages
Naked Mole,Central Shroud,,Moles vs the Pilgrims,,,P,ge-mob-pages
Naked Mole,North Shroud,,Sapped Saplings,,,P,ge-mob-pages
Naked Mole,Central Thanalan,,Tunneling Trouble,,,P,ge-mob-pages
Naked Mole,Central Thanalan,,Moles for the Mauling,,,P,ge-mob-pages
Napalm,Coerthas Western Highlands,19-17,,70-74,,A,ge-mob-pages
Natalan Boneknitter,Natalan,,,50-56,"{{Drops|Name=Ixali Willowknot|Link=|0|0}}, {{Drops|Name=Vortex Headdress|Link=|0|0}}",A,ge-mob-pages
Natalan Gatekeeper,Natalan,,,52-56,"{{Drops|Name=Ixali Willowknot|Link=|0|0}}, {{Drops|Name=Vortex Headdress|Link=|0|0}}",A,ge-mob-pages
Natalan Logsplitter,Natalan,,,50-56,"{{Drops|Name=Ixali Willowknot|Link=|0|0}}, {{Drops|Name=Vortex Headdress|Link=|0|0}}",A,ge-mob-pages
Natalan Pikecarver,Natalan,,,50-56,"{{Drops|Name=Ixali Willowknot|Link=|0|0}}, {{Drops|Name=Vortex Headdress|Link=|0|0}}",A,ge-mob-pages
Natalan Sentry (Gladiator),Natalan,,,52,"{{Drops|Name=Brass Natalan Coffer Key|Link=|0|0}}, {{Drops|Name=Ixali Willowknot|Link=|0|0}}, {{Drops|Name=Vortex Headdress|Link=|0|0}}",A,ge-mob-pages
Natalan Sentry (Lancer),Natalan,,,59,"{{Drops|Name=Silver Natalan Coffer Key|Link=|0|0}}, {{Drops|Name=Ixali Willowknot|Link=|0|0}}, {{Drops|Name=Vortex Headdress|Link=|0|0}}",A,ge-mob-pages
Natalan Sentry (Marauder),Natalan,,,53,"{{Drops|Name=Copper Natalan Coffer Key|Link=|0|0}}, {{Drops|Name=Ixali Willowknot|Link=|0|0}}, {{Drops|Name=Vortex Headdress|Link=|0|0}}",A,ge-mob-pages
Natalan Sentry (Thaumaturge),Natalan,,,59,"{{Drops|Name=Silver Natalan Coffer Key|Link=|0|0}}, {{Drops|Name=Ixali Willowknot|Link=|0|0}}, {{Drops|Name=Vortex Headdress|Link=|0|0}}",A,ge-mob-pages
Natalan Wolftamer,Natalan,,,50-56,"{{Drops|Name=Ixali Willowknot|Link=|0|0}}, {{Drops|Name=Vortex Headdress|Link=|0|0}}",A,ge-mob-pages
Needletail,East Shroud,Nine Ivies,,62-63,,A,ge-mob-pages
Nest Commander,Western Thanalan,11-25,,36,"{{Drops|Name=Canvas Shepherd's Slops|0|14}}, {{Drops|Name=Canvas Slops|0|14}}, {{Drops|Name=Nighthawk Visor|4|34}}, {{Drops|Name=Cotton Trousers|0|14}}, {{Drops|Name=Ogre Pumpkin|4|14}}, {{Drops|Name=Formic Acid|6|14}}, {{Drops|Name=Cotton Breeches|3|14}}, {{Drops|Name=Velveteen Tights (Black)|2|14}}, {{Drops|Name=Drake Scales|1|14}}, {{Drops|Name=Velveteen Bottom (Red)|1|14}}, {{Drops|Name=Velveteen Sarouel|3|14}}",A,ge-mob-pages
Nestling Buzzard,Lower La Noscea,30-32,,37-39,"{{Drops|Name=Vulture Feather|36|70}}, {{Drops|Name=Yew Branch|6|70}}",A,ge-mob-pages
Nether Nix,The Aurum Vale,,,55,,A,ge-mob-pages
Nibbled Toadstool,North Shroud,,Sylph-inflicted Wounds,40-52,"{{Drops|Name=Shriekshroom|Link=|0|0}}, {{Drops|Name=Straw|Link= |0|0}}, {{Drops|Name=Walnut Log|Link= |0|0}}",P,ge-mob-pages
Nightblade Assassin,Western Thanalan,,,,,A,ge-mob-pages
Nightblade Assassin,Western Thanalan,,Sweet Vengeance,,,A,ge-mob-pages
Nightwolf,Eastern La Noscea,,Wanted: Palemoon Parazuzu,,,,ge-mob-pages
Nix,Eastern La Noscea,,,,,A,ge-mob-pages
Northern Eft,East Shroud,,Efts from Afar,,,P,ge-mob-pages
Nut Nibbler,Central Shroud,Humblehearth,Woes of the Botanist,40,{{Drops|Name=Gridanian Chestnut|Link=|2|4}},P,ge-mob-pages
Nutbiter Marmot,Central Shroud,,Reforesting Bentbranch,,,P,ge-mob-pages
Nutbiter Marmot,Central Thanalan,,Something in the Water,,,P,ge-mob-pages
Nutbiter Marmot,Eastern Thanalan,,Popotoes in Peril,,,P,ge-mob-pages
Nutbiter Marmot,South Shroud,,Reforesting Tranquil,,,P,ge-mob-pages
Nutbreaker Squirrel,South Shroud,,Reforesting Tranquil,,,P,ge-mob-pages
Nutcracker Squirrel,South Shroud,,Reforesting Tranquil,,,P,ge-mob-pages
Nutgrabber Marmot,Central Thanalan,27-23,,10,"{{Drops|Name=Marmot Pelt |10|50}}, {{Drops|Name=Marmot Meat |11|50}}, {{Drops|Name=Moko Grass |13|50}}, {{Drops|Name=Gridanian Walnut |13|50}}, {{Drops|Name=Wild Onion | 5|50}}",P,ge-mob-pages
Ocean Roseling (Roselet),Western La Noscea,,Colonizing the Valley,,{{Drops|Name=Growth Formula Alpha|1|4}},A,ge-mob-pages
Ocean Roseling (Roselet),Western La Noscea,,Camp Skull Valley Behest,,,A,ge-mob-pages
Ocean Roseling (Roselet),Eastern La Noscea,,A Roseling by Any Other Name,20-32,"{{Drops|Name=Cotton Boll||}}, {{Drops|Name=Red Landtrap Vine}}",A,ge-mob-pages
Oilbug,South Shroud,"36,48",,17 - 19,"{{Drops|Name=Cotton Boll||}}, {{Drops|Name=Flax||}}, {{Drops|Name=Moko Grass||}}",P,ge-mob-pages
Old Six-arms,Lower La Noscea,31-33,,,"{{Drops|Name=Malm Kelp| 0|8}}, {{Drops|Name=Megalocrab Leg| 3|8}}, {{Drops|Name=Shellsplitter| 2|8}}, {{Drops|Name=Venerer's Bracers| 1|8}}, {{Drops|Name=Green Megalocrab Shell|0|8}}",P,ge-mob-pages
Opo-opo,Central Shroud,Humblehearth,,34,,P,ge-mob-pages
Opo-opo,Eastern La Noscea,,Sating the Simians,,,P,ge-mob-pages
Opo-opo,The Mun-Tuy Cellars,4-7,,,,P,ge-mob-pages
Opo-opo,South Shroud,,,,,P,ge-mob-pages
Ornery Karakul Ewe,Coerthas Central Highlands,34-19,,34 - 36,"{{Drops|Name=Karakul Fleece||}}, {{Drops|Name=Flax||}}",P,ge-mob-pages
Orobon,Cassiopeia Hollow,,,,"{{Drops|Name=Orobon Liver||}},{{Drops|Name=Black Sole||}},{{Drops|Name=Blue Coral||}},{{Drops|Name=Jellyfish Umbrella||}}",A,ge-mob-pages
